"","Species","Region","Individual_ID","Island","Flipper_Length_mm","Body_mass_g","Sex"
"1","Adelie Penguin (Pygoscelis adeliae)","Anvers","N1A2","Torgersen",186,3800,"FEMALE"
"2","Adelie Penguin (Pygoscelis adeliae)","Anvers","N2A1","Torgersen",195,3250,"FEMALE"
"3","Adelie Penguin (Pygoscelis adeliae)","Anvers","N3A1","Torgersen",193,3450,"FEMALE"
"4","Adelie Penguin (Pygoscelis adeliae)","Anvers","N4A1","Torgersen",181,3625,"FEMALE"
"5","Adelie Penguin (Pygoscelis adeliae)","Anvers","N7A1","Torgersen",182,3200,"FEMALE"
"6","Adelie Penguin (Pygoscelis adeliae)","Anvers","N8A2","Torgersen",185,3700,"FEMALE"
"7","Adelie Penguin (Pygoscelis adeliae)","Anvers","N9A1","Torgersen",195,3450,"FEMALE"
"8","Adelie Penguin (Pygoscelis adeliae)","Anvers","N10A1","Torgersen",184,3325,"FEMALE"
"9","Adelie Penguin (Pygoscelis adeliae)","Anvers","N11A1","Biscoe",174,3400,"FEMALE"
"10","Adelie Penguin (Pygoscelis adeliae)","Anvers","N12A1","Biscoe",189,3800,"FEMALE"
"11","Adelie Penguin (Pygoscelis adeliae)","Anvers","N13A2","Biscoe",187,3800,"FEMALE"
"12","Adelie Penguin (Pygoscelis adeliae)","Anvers","N17A2","Biscoe",187,3200,"FEMALE"
"13","Adelie Penguin (Pygoscelis adeliae)","Anvers","N18A1","Biscoe",172,3150,"FEMALE"
"14","Adelie Penguin (Pygoscelis adeliae)","Anvers","N21A1","Dream",178,3250,"FEMALE"
"15","Adelie Penguin (Pygoscelis adeliae)","Anvers","N22A1","Dream",188,3300,"FEMALE"
"16","Adelie Penguin (Pygoscelis adeliae)","Anvers","N23A1","Dream",195,3325,"FEMALE"
"17","Adelie Penguin (Pygoscelis adeliae)","Anvers","N24A2","Dream",180,3550,"FEMALE"
"18","Adelie Penguin (Pygoscelis adeliae)","Anvers","N25A1","Dream",181,3300,"FEMALE"
"19","Adelie Penguin (Pygoscelis adeliae)","Anvers","N26A1","Dream",182,3150,"FEMALE"
"20","Adelie Penguin (Pygoscelis adeliae)","Anvers","N27A1","Dream",186,3100,"FEMALE"
"21","Adelie Penguin (Pygoscelis adeliae)","Anvers","N28A1","Dream",185,3000,"FEMALE"
"22","Adelie Penguin (Pygoscelis adeliae)","Anvers","N30A1","Dream",190,3450,"FEMALE"
"23","Adelie Penguin (Pygoscelis adeliae)","Anvers","N21A1","Biscoe",186,3500,"FEMALE"
"24","Adelie Penguin (Pygoscelis adeliae)","Anvers","N22A1","Biscoe",190,3450,"FEMALE"
"25","Adelie Penguin (Pygoscelis adeliae)","Anvers","N23A1","Biscoe",187,2900,"FEMALE"
"26","Adelie Penguin (Pygoscelis adeliae)","Anvers","N24A1","Biscoe",186,3550,"FEMALE"
"27","Adelie Penguin (Pygoscelis adeliae)","Anvers","N25A1","Biscoe",181,2850,"FEMALE"
